Job No,Job Name,Chargeable,Billing Basis,Job Group,First Booked,Last Booked,Total Hours,Last Fully Billed Date,Override Billing Basis
2511702,ASX CEO Connect 2.12.2025 [PRD],Chargeable,Project,Production,2025-12-02,2025-12-02,5.25,,
2511703,Dimensional Audio Op 26.11.25 [PRD],Chargeable,Project,Production,2025-11-26,2025-11-27,8.0,,
2512401,ASX CHESS Replacement Comm 3.12.25 [PRD],Chargeable,Project,Production,2025-12-03,2025-12-03,3.5,,
2512501,MUFG Wisetech Investor Day [PRD],Chargeable,Project,Production,2025-12-02,2025-12-03,67.0,,
2512503,Ventia EOY Town Hall 10.12.2025 [PRD],Chargeable,Project,Production,2025-12-05,2025-12-11,55.0,,
2512504,DTTL Next Gen AV Dry Hire [PRD],Chargeable,Project,Production,2025-12-09,2025-12-12,12.0,,
2512505,ASX Business Committee (Remote) [PRD],Chargeable,Project,Production,2025-12-10,2025-12-10,4.25,,
2512801,RSNSW Ord General Meeting 11.02.2026 [PRD],Chargeable,Project,Production,2026-02-09,2026-02-17,8.25,,
2512802,RSNSW Ordinary General Meeting 8.4.26 [PRD],Chargeable,Project,Production,2026-04-07,2026-04-08,10.25,,
2512803,RSNSW Ordinary General Meeting 3.6.26 [PRD],Chargeable,Project,Production,2026-05-21,2026-06-10,10.08,,
2512804,RSNSW Ordinary General Meeting 5.8.26 [PRD],Chargeable,Project,Production,2026-07-16,2026-08-05,10.33,,
2601701,CEOi - TLP Brand Video [VID],Chargeable,Project,Video,2026-01-07,2026-05-12,64.0,,
2601801,Nyrada Investor Webinar 5.02.2026 [PRD],Chargeable,Project,Production,2026-01-20,2026-02-05,15.0,,
2601902,ASX Meet the Manager Series March 2026 [VID],Chargeable,Project,Video,2026-02-17,2026-03-27,37.5,,
2602203,YSG Studio Orange Room Upgrade [CONS],Chargeable,Project,Consulting,2026-02-26,2026-07-15,60.08,,
2602301,Loreto AV Sound Engineering Training 06.02.2026 [PRD],Chargeable,Project,Production,2026-02-06,2026-02-06,4.5,,
2602304,Elkiem Studio Event 17.3.26 [PRD],Chargeable,Project,Production,2026-03-16,2026-03-17,5.25,,
2602305,PwC Tax & Legal Webcast 10.3.26 [PRD],Chargeable,Project,Production,2026-03-10,2026-03-10,8.25,,
2602306,Elkiem Studio Support Feb 2026 [PRD],Chargeable,Project,Production,2026-02-10,2026-02-11,5.25,,
2602307,Elkiem Studio Support 16.4.26 [PRD],Chargeable,Project,Production,2026-04-14,2026-04-16,4.0,,
2602308,Elkiem Studio Support 26.5.26 [PRD],Chargeable,Project,Production,2026-05-25,2026-05-26,4.0,,
2602309,Elkiem Studio Support 1.7.26 [PRD],Chargeable,Project,Production,2026-06-12,2026-07-01,6.0,,
2602501,CBA LES - February 2026 [PRD],Chargeable,Project,Production,2026-02-02,2026-02-26,100.0,,
2602601,CBA AFR Dinner AV Support 3.3.2026 [PRD],Chargeable,Project,Production,2026-03-03,2026-03-20,11.75,,
2602901,HP-Telstra: Phone Modification [INT],Chargeable,Project,Integration,2026-03-17,2026-07-16,4.5,,
2603102,St. Vincent's - INT Nurses Day - 12.5.26 [PRD],Chargeable,Project,Production,2026-05-12,2026-05-22,6.25,,
2603103,Vega Global - Tech Support - 2.4.26 [PRD],Chargeable,Project,Production,2026-04-02,2026-04-02,4.0,,
2603104,Cochlear FY26 Results 18.8.26 [PRD],Chargeable,Project,Production,2026-06-18,2026-08-19,33.67,,
2603202,Property NSW Eptura Licence Renewal [CONS],Chargeable,Project,Consulting,2026-05-05,2026-05-19,3.25,,
2603402,DTTL MS Surface Audio Speaker Setup 10.3.26 [PRD],Chargeable,Project,Production,2026-03-09,2026-03-10,3.75,,
2603406,Ventia XELT 11.3.2026 [PRD],Chargeable,Project,Production,2026-03-09,2026-03-11,48.25,,
2603601,Ventia Supply Partner Conference 25.3.26 [PRD],Chargeable,Project,Production,2026-03-19,2026-03-19,0.5,,
2603901,ASX-Bloomberg - Extra Social Media [VID],Chargeable,Project,Video,2026-03-16,2026-03-26,17.0,,
2604202,Ventia - Ventia Awards - 30.7.26 [PRD],Chargeable,Project,Production,2026-06-19,2026-07-31,140.5,,
2604203,Ventia - Investor Day - 4.5.2026 [PRD],Chargeable,Project,Production,2026-04-28,2026-07-16,55.5,,
2604204,Ventia - AGM - 21.5.26 [PRD],Chargeable,Project,Production,2026-05-14,2026-05-22,65.25,,
2604205,Chorus Call - Qube Scheme Meeting - 16.6.26 [PRD],Chargeable,Project,Production,2026-06-10,2026-06-16,39.25,,
2604206,Ventia - June CEO Town Hall - 18.6.26 [PRD],Chargeable,Project,Production,2026-06-09,2026-06-29,39.25,,
2604702,Loreto - AV Sound Eng Training - 14.4.26 [PRD],Chargeable,Project,Production,2026-04-14,2026-04-14,4.0,,
2604703,Elkiem - Studio Support 15.4.26 [PRD],Chargeable,Project,Production,2026-04-14,2026-04-15,4.0,,
2604704,Aware Super Seminar Room Audio Upgrade [INT],Chargeable,Project,Integration,2026-06-01,2026-08-19,30.5,,
2605401,AGL FYR - Investor Briefing [PRD],Chargeable,Project,Production,2026-08-07,2026-08-12,20.5,,
2605402,AGL FYR - Employee Town Hall [PRD],Chargeable,Project,Production,2026-06-18,2026-08-13,55.92,,
2605403,ARUP - Oves Awards - 23.7.26 [PRD],Chargeable,Project,Production,2026-07-17,2026-07-24,26.75,,
2605605,DTTL Hobart AV Fitout [CONS],Chargeable,Project,Consulting,2026-07-20,2026-08-21,15.75,,
2605609,ASX - CEO Farewell - 27.5.26 [PRD],Chargeable,Project,Production,2026-05-26,2026-05-27,31.5,,
2605801,Dimensional - AV Support - 3-4.6.26 [PRD],Chargeable,Project,Production,2026-06-03,2026-06-04,7.5,,
2605803,St Catherine's - Dedicated Tech - 12.6.26 [PRD],Chargeable,Project,Production,2026-06-02,2026-06-12,10.0,,
2605804,City of Sydney Supply of Barco Projector Shutters [INT],Chargeable,Project,Integration,2026-07-06,2026-07-16,1.58,,
2605806,AV Fitout @ 555 Collins Street MEL [CONS],Chargeable,Project,Consulting,2026-07-01,2026-07-20,28.67,,
2606401,PWC - NRW Webcast - 11.6.26 [PRD,Chargeable,Project,,2026-06-09,2026-06-11,5.0,,
2606801,Garvan - AV Event Support - 5.6.26 [PRD],Chargeable,Project,Production,2026-06-05,2026-06-09,11.0,,
2606901,PwC | Syd Studio Equipment [INT],Chargeable,Project,Integration,2026-07-01,2026-07-16,3.0,,
2606902,AVIT - Taronga AV Support - 9-11.6.26 [PRD],Chargeable,Project,Production,2026-06-09,2026-06-11,23.0,,
2606903,Virgin FY26 Results [PRD],Chargeable,Project,Production,2026-06-24,2026-08-21,4.75,,
2606904,Symal - FYR26 (Melb) - 24.8.26 [PRD],Chargeable,Project,Production,2026-06-24,2026-08-21,2.75,,
2606905,Dimensional - Audio Tech Support - 22.6.26 [PRD],Chargeable,Project,Production,2026-06-22,2026-06-22,4.0,,
2606906,St Catherines Case Study Video [VID],Non-chargeable,Non-chargeable,Video,2026-06-11,2026-07-20,29.33,,
2607701,Litecard - Event Hire - 16.7.26 [PRD],Chargeable,Project,Production,2026-07-16,2026-07-16,1.0,,
2607703,Garvan - YPO Event - 6.8.2026 [PRD],Chargeable,Project,Production,2026-08-06,2026-08-07,9.75,,
2607901,ON24 KWM Event 23.7.26 [PRD],Chargeable,Project,Production,2026-07-22,2026-07-23,8.0,,
20250309,Dimensional Audio Operator SEPT 2025 [PRD],Chargeable,Project,Production,2025-09-03,2025-09-03,5.0,,
20250731,PWC National Pool of Hours [ONS],Chargeable,Project,Support,2025-09-03,2026-08-20,145.0,,
20251202,Cubes Co Event 02.12.2025 [PRD],Chargeable,Project,Production,2025-12-02,2025-12-02,2.75,,
20260801,CTS Day 2026 [CTS],Non-chargeable,Non-chargeable,CTS,2026-08-04,2026-08-21,6.75,,
24102501,PwC MEL FT Tech-12Months [ONS],Chargeable,Project,Support,2025-06-30,2026-04-02,977.5,,
24120601,UoW Liverpool Campus [CONS],Chargeable,Project,Consulting,2025-01-28,2025-12-10,213.0,,
25011601,DTTL Hobart ITS AV Ref [INT],Chargeable,Project,Integration,2026-07-02,2026-07-10,17.5,,
25012302,ASX The Funding Network [PRD],Chargeable,Project,Production,2025-03-27,2025-03-27,11.0,,
25021002,ASX Chess Replacement [PRD],Chargeable,Project,Production,2025-02-05,2025-02-05,4.0,,
25021201,DEWR Headset Supply [INT],Chargeable,Project,Integration,2025-04-02,2025-04-02,7.0,,
25021303,PwC Camera Operators [VID],Chargeable,Project,Video,2025-02-13,2025-03-18,26.0,,
25021304,Sydney Clinprep Medical Conference [PRD],Chargeable,Project,Production,2025-03-21,2025-03-22,9.0,,
25021305,Arinex vMix Operators [PRD],Chargeable,Project,Production,2025-03-28,2025-05-05,85.0,,
25021901,DAFF Technology Standard[CONS],Chargeable,Project,Consulting,2025-05-26,2025-06-25,14.5,,
25022001,ASX Refinitiv Golf Day [PRD],Non-chargeable,Non-chargeable,Production,2025-02-20,2025-02-27,31.75,,
25022403,Westpac Kick Starter Monthly [VID],Chargeable,Project,Video,2025-02-17,2025-02-19,6.5,,
25022701,Dimensional - Melbourne Boardroom Consultancy [CONS],Chargeable,Project,Consulting,2025-03-10,2025-11-19,18.75,,
25022803,CBA AFR Dinner AV Support [PRD],Chargeable,Project,Production,2025-03-03,2025-03-04,16.5,,
25022806,CBA Foundry Events [PRD],Chargeable,Project,Production,2025-03-05,2025-06-02,40.0,,
25022807,ASX CHESS Replacement Committee MARCH25 [PRD],Chargeable,Project,Production,2025-03-03,2025-03-13,6.5,,
25022808,ASX CEO Connect March [PRD],Chargeable,Project,Production,2025-03-04,2025-03-04,12.75,,
25031104,CBA Stage with Ramp [PRD],Chargeable,Project,Production,2025-06-02,2025-06-03,3.0,,
25032001,IWC Dedicated Tech MAR25 [PRD],Chargeable,Project,Production,2025-03-11,2025-03-11,7.0,,
25032002,PWC Workforce Leaders Frm[PRD],Chargeable,Project,Production,2025-03-11,2025-03-11,16.0,,
25032003,PWC Tax and Legal Webcast[PRD],Chargeable,Project,Production,2025-03-19,2025-04-28,15.0,,
25032004,ASX SR 15 Studio Shoot [VID],Chargeable,Project,Video,2025-03-20,2025-03-24,13.25,,
25032005,Ventia Town Hall Mar [PRD],Chargeable,Project,Production,2025-03-12,2025-04-02,43.0,,
25032006,ON24 Astellas Recordings [PRD],Chargeable,Project,Production,2025-03-26,2025-03-28,8.25,,
25032007,VNT Roads Aus Networking [PRD],Chargeable,Project,Production,2025-04-02,2025-04-02,10.5,,
25032008,PWC Studio Event [PRD],Chargeable,Project,Production,2025-03-27,2025-12-17,61.75,,
25032009,PWC Firmwide Webcast [PRD],Chargeable,Project,Production,2025-04-03,2025-04-03,3.0,,
25032010,OC A1N AGM 2025 [PRD],Chargeable,Project,Production,2025-05-06,2025-05-08,45.25,,
25032011,ASX S&P 25 Year Anniv [VID],Chargeable,Project,Video,2025-03-27,2025-04-15,19.75,,
25032012,Ventia AGM 2025 [PRD],Chargeable,Project,Production,2025-05-07,2025-05-22,23.75,,
25032104,ASX Investor Day Filming [VID],Chargeable,Project,Video,2025-04-29,2025-06-04,75.25,,
25032105,ASX SMID Hybrid [PRD],Chargeable,Project,Production,2025-03-25,2025-04-01,56.25,,
25032106,ASX Piece to Camera [VID],Chargeable,Project,Video,2025-03-25,2025-04-04,22.5,,
25032401,ASX Business Committee March - NO CHARGE [PRD],Non-chargeable,Non-chargeable,Production,2025-03-11,2025-05-07,38.5,,
25032701,St Catherines Chargeable [ONS],Chargeable,Project,Support,2025-04-08,2025-05-27,36.75,,
25032703,Ventia Lunch & Learn [PRD],Chargeable,Project,Production,2025-04-03,2025-04-03,17.0,,
25032704,RSNSW Ord Gen Meeting [PRD],Chargeable,Project,Production,2025-06-04,2025-06-04,7.0,,
25032705,ASX FISD Fireside Chat [PRD],Chargeable,Project,Production,2025-04-03,2025-04-04,16.75,,
25032706,CBA Web Video Hosting [PRD],Chargeable,Project,Production,2025-03-27,2025-03-27,2.0,,
25032707,PWC Firmwide Webcast 2 [PRD],Chargeable,Project,Production,2025-04-14,2025-04-14,5.5,,
25032708,ASX Chess R/ment APR25 [PRD],Chargeable,Project,Production,2025-04-02,2025-04-02,4.0,,
25041101,ASX CEO Connect April [PRD],Chargeable,Project,Production,2025-04-15,2025-04-15,8.25,,
25041502,PDNSW DB License Ext [INT],Chargeable,Project,Integration,2026-06-30,2026-06-30,0.0,,
25042304,Loghic Webcast Operator [PRD],Chargeable,Project,Production,2025-04-29,2025-04-29,11.5,,
25042306,PwC Tax Briefing Event [PRD],Chargeable,Project,Production,2025-05-12,2025-05-12,4.5,,
25042801,OC GPT AGM 2025 [PRD],Chargeable,Project,Production,2025-04-30,2025-05-01,24.0,,
25042802,Garvan Cocktail Event [PRD],Chargeable,Project,Production,2025-05-01,2025-05-01,3.75,,
25042803,ASX AIMA & 100 Women/IF [PRD],Chargeable,Project,Production,2025-05-01,2025-05-01,14.25,,
25051302,NSW Prop Bradfield Desk Booking + Penrith Additional [INT],Chargeable,Project,Integration,2025-09-12,2025-09-22,1.25,,
25051303,Stone&Chalk Hub Audit [CONS],Chargeable,Project,Consulting,2025-05-20,2025-05-28,4.75,,
25051402,Elkiem Workshop Recording[PRD],Chargeable,Project,Production,2025-05-20,2025-05-22,15.75,,
25051403,DTTL SYD Tech Supp TMT AP[ONS],Chargeable,Project,Support,2025-07-31,2025-07-31,7.0,,
25051602,ITRS FIA Conf Screen [PRD],Chargeable,Project,Production,2025-06-04,2025-06-05,9.5,,
25051901,BW Length of Services [PRD],Chargeable,Project,Production,2025-05-13,2025-05-13,8.0,,
25051902,SVPH Nurse Awards [PRD],Chargeable,Project,Production,2025-05-12,2025-05-12,5.25,,
25051903,PWC Advisory Webcast [PRD],Chargeable,Project,Production,2025-05-13,2025-05-13,11.75,,
25051904,PWC AI Amplified Webcast [PRD],Chargeable,Project,Production,2025-05-14,2025-05-14,4.0,,
25051907,Arup Lesson Learned Sess [PRD],Chargeable,Project,Production,2025-05-28,2025-05-28,27.25,,
25052002,Arinex Hilton 19-20/05 [PRD],Chargeable,Project,Production,2025-05-19,2025-05-20,6.0,,
25052102,ChorusCall Regal AGM [PRD],Chargeable,Project,Production,2025-05-29,2025-05-29,17.75,,
25052802,Aus Retirement Trust Members Meeting 2025 [PRD],Chargeable,Project,Production,2025-11-04,2025-11-21,33.75,,
25052902,Garvan - Screening Event [PRD],Chargeable,Project,Production,2025-05-28,2025-05-28,3.25,,
25052903,APA - Teams AMA Event [PRD],Chargeable,Project,Production,2025-05-27,2025-05-29,4.0,,
25052904,PwC National Rec Week [PRD],Chargeable,Project,Video,2025-05-29,2025-05-29,8.75,,
25053001,PwC CFO Connect Webcast [PRD],Chargeable,Project,Production,2025-05-21,2025-05-21,9.5,,
25053002,CBA LES MAY2025 [PRD],Chargeable,Project,Production,2025-05-05,2025-06-10,120.25,,
25053101,OOTOZ ATEM&Audio Tech JPM[PRD],Chargeable,Project,Production,2025-06-02,2025-07-10,59.25,,
25061103,OOTOZ JPM SYD Event JUN25[PRD],Chargeable,Project,Production,2025-06-06,2025-06-13,15.75,,
25061105,Optiver Town Hall JUN25 [PRD],Chargeable,Project,Production,2025-06-20,2025-07-02,11.0,,
25061203,APA Divisional Town Hall [PRD],Chargeable,Project,Production,2025-06-17,2025-06-17,4.0,,
25061701,Virgin Australia FY25 Results Briefing 29.8.25 [PRD],Chargeable,Project,Production,2025-08-28,2025-08-29,16.0,,
25062601,MUFG (OC) IMB AGM [PRD],Chargeable,Project,Production,2025-10-27,2025-10-27,6.75,,
25062704,ASX Chess R/Ment JUL25 [PRD],Chargeable,Project,Production,2025-07-09,2025-08-06,9.75,,
25062707,Ventia SYD T/Hall JUL25 [PRD],Chargeable,Project,Production,2025-07-23,2025-07-24,45.75,,
25062708,Arup The Oves Awards [PRD],Chargeable,Project,Production,2025-07-24,2025-07-25,20.75,,
25062709,Garvan Morning Tea Event [PRD],Chargeable,Project,Production,2025-07-24,2025-07-25,8.75,,
25062710,Ventia Awards Finalist Ex[PRD],Chargeable,Project,Production,2025-07-28,2025-07-29,28.75,,
25062712,ASX GemLife H/L Vid JUL25[PRD],Chargeable,Project,Production,2025-07-02,2025-07-03,9.75,,
25062713,CBA LES JUL25 [PRD],Chargeable,Project,Production,2025-07-01,2025-07-31,106.0,,
25063001,APA All Hands Staff [PRD],Chargeable,Project,Production,2025-08-19,2025-08-19,4.25,,
25063002,APA FYR T/Hall SYD AUG25[PRD],Chargeable,Project,Production,2025-08-19,2025-08-20,50.75,,
25063003,APA HYR T/Hall SYD FEB26 [PRD],Chargeable,Project,Production,2026-01-15,2026-02-19,38.25,,
25063005,APA Colleag T/H PER MAY26[PRD],Chargeable,Project,Production,2026-05-01,2026-06-04,26.5,,
25070702,APA Prxyclck VMS BNE&DAR[CONS],Chargeable,Project,Consulting,2026-07-16,2026-07-16,0.08,,
25071601,APA Town Hall - 22.7.25 [PRD],Chargeable,Project,Production,2025-07-22,2025-07-22,2.5,,
25071602,PWC Firmwide Wbcast JUL25[PRD],Chargeable,Project,Production,2025-07-23,2025-07-23,16.5,,
25071603,ASX ETF Education & Meet the Manager VID 29/7/2025 [VID],Chargeable,Project,Video,2025-07-29,2025-09-19,52.75,,
25072302,AGL FYR Investor Brief - Aug 2025 [PRD],Chargeable,Project,Production,2025-08-12,2025-08-14,35.0,,
25072303,AGL Employee T/Hall AUG25[PRD],Chargeable,Project,Production,2025-08-12,2025-08-13,13.25,,
25072304,PWC Tax Briefing 22.07.25[PRD],Chargeable,Project,Production,2025-07-22,2025-07-22,13.75,,
25072501,MUFG (OC) DHG AGM 04.08.25 [PRD],Chargeable,Project,Production,2025-08-01,2025-08-04,65.0,,
25072502,ASX CHESS Replacement Committee Aug 2025 [PRD],Chargeable,Project,Production,2025-08-06,2025-08-06,3.5,,
25072503,RSNSW - Ord Gen Meet 6.8.25 [PRD],Chargeable,Project,Production,2025-08-06,2025-08-06,13.5,,
25072504,Garvan- Art of Disc Tech [PRD],Chargeable,Project,Production,2025-08-07,2025-08-07,3.25,,
25072505,St Catherine Sports Lunch[PRD],Chargeable,Project,Production,2025-08-07,2025-08-08,20.0,,
25073001,CBA Full Year Results 13.8.25 [PRD],Chargeable,Project,Production,2025-07-28,2025-08-29,18.5,,
25073002,OC - Suncorp - FYR 14.8.25 [PRD],Chargeable,Project,Production,2025-08-06,2025-08-14,60.0,,
25073003,ASX FY25 Results Briefing 14.8.25 [PRD],Chargeable,Project,Production,2025-08-12,2025-08-14,32.75,,
25073004,Ventia HY25 Results Brief 14.8.25 [PRD],Chargeable,Project,Production,2025-08-13,2025-08-22,17.25,,
25073005,Ventia CEO Results Town Hall 14.8.25 [PRD],Chargeable,Project,Production,2025-08-13,2025-08-21,38.75,,
25073007,Cochlear FY25 Result Briefing 15.8.25 [PRD],Chargeable,Project,Production,2025-08-05,2025-10-22,19.5,,
25073008,TLC Full Year Results - 20.8.25 [PRD],Chargeable,Project,Production,2025-08-19,2025-08-20,30.25,,
25081201,AI-Media AGM 2025 [PRD],Chargeable,Project,Production,2025-09-08,2025-09-26,56.25,,
25081402,Hills Grammar Loan Airmedia Purchase [INT],Chargeable,Project,Integration,2026-03-04,2026-03-04,0.25,,
25081902,St Vincents Public Hospital - Awards Night - 26.8.25 [PRD],Chargeable,Project,Production,2025-08-26,2025-08-26,4.75,,
25082501,APA Sydney Tablet Brackets [INT],Chargeable,Project,Integration,2025-08-28,2025-08-28,2.25,,
25082601,Loghic Connect Webcast Operator - 21.8.25 [PRD],Chargeable,Project,Production,2025-08-21,2025-08-21,3.25,,
25082602,Amazon Zoom Producer 27 & 28.8.25 [PRD],Chargeable,Project,Production,2025-08-27,2025-08-28,15.5,,
25082603,Loghic Connect Webcast Operator 28.8.25 [PRD],Chargeable,Project,Production,2025-08-28,2025-08-28,2.75,,
25082701,EY NSW Town Hall 1 & 2.9.25 [PRD],Chargeable,Project,Production,2025-09-01,2025-09-02,10.0,,
25082702,ASX CEO Connect 2.9.25 [PRD],Chargeable,Project,Production,2025-09-02,2025-09-03,15.25,,
25082703,ASX CHESS R/Ment Comm 3.9.25 [PRD],Chargeable,Project,Production,2025-09-03,2025-09-03,7.0,,
25082704,Ventia Leader Welcome 10 &amp; 11.09.2025 [PRD],Chargeable,Project,Production,2025-09-09,2025-09-15,59.0,,
25082705,Ventia RUOK - Lunch Learn 11.9.25 [PRD],Chargeable,Project,Production,2025-09-11,2025-09-11,23.0,,
25082706,ASX STAC Conf 11.09.2025 [PRD],Chargeable,Project,Production,2025-09-05,2025-09-12,32.25,,
25082707,ASX Business Committee - 17.9.25 [PRD],Chargeable,Project,Production,2025-09-17,2025-09-17,24.0,,
25082708,ASX NAB Pre-Market Day 17.09.2025 [PRD],Chargeable,Project,Production,2025-09-16,2025-09-17,22.0,,
25091002,Dimensional Fund Advisors Audio Op- 11 &amp; 12.9.25 [PRD],Chargeable,Project,Production,2025-09-11,2025-09-12,10.0,,
25091003,Dimensional Fund Advisors Audio Op - 17 9 25 [PRD],Chargeable,Project,Production,2025-09-17,2025-09-17,7.0,,
25091004,ON24 KWM Live Stream - 22.9.25 [PRD],Chargeable,Project,Production,2025-09-17,2025-09-22,6.5,,
25091005,RSNSW Ord Gen Meet 1.10.25 [PRD],Chargeable,Project,Production,2025-10-01,2025-10-01,13.5,,
25091006,Garvan Curran Library Event 23.9.2025 [PRD],Chargeable,Project,Production,2025-09-22,2025-09-23,14.75,,
25091007,APA Town Hall 11.9.25 [PRD],Chargeable,Project,Production,2025-09-11,2025-09-11,3.0,,
25091101,Garvan Techs 9 & 10.10. 2025 [PRD],Chargeable,Project,Production,2025-10-08,2025-10-10,36.0,,
25091701,DTTL Dry Hire - Changemakers 8 -9.10.25 [PRD],Chargeable,Project,Production,2025-10-07,2025-10-09,14.5,,
25091702,ASX CHESS Replace Comm 8.10.25 [PRD],Chargeable,Project,Production,2025-10-08,2025-10-08,5.0,,
25091703,Scentre Group Marion Superscreen (D10396) Test and Cert [CONS],Chargeable,Project,Consulting,2025-09-24,2025-09-28,12.25,,
25091704,Chorus Call Redox AGM - 8.10.25 [PRD],Chargeable,Project,Production,2025-10-07,2025-10-08,27.5,,
25091705,TLC AGM - 15.10.25 [PRD],Chargeable,Project,Production,2025-09-16,2025-10-16,25.0,,
25091706,ASX CEO Connect 28.10.2025 [PRD],Chargeable,Project,Production,2025-10-27,2025-10-29,14.0,,
25091707,MUFG Suncorp Investor Day 30.10.25 [PRD],Chargeable,Project,Production,2025-10-28,2025-10-30,121.75,,
25091709,LSEG Melb Event Video Highlights - 9.10.25 [VID],Chargeable,Project,Video,2025-10-01,2025-11-10,53.5,,
25091710,3YS Owls Governance Top 100 - 24.10.25 [PRD],Non-chargeable,Non-chargeable,Production,2025-09-25,2025-10-24,17.75,,
25092402,ICC - Support Technician 29.09.25 - 03.10.25 [PRD],Chargeable,Project,Production,2025-09-29,2025-10-03,41.25,,
25092403,Automic Melb Invest 2025 - 26 & 27.11.25 [PRD],Chargeable,Project,Production,2025-11-17,2025-12-04,41.5,,
25092901,PWC Studio Event 7.10.25 [PRD],Chargeable,Project,Production,2025-10-07,2025-10-07,8.75,,
25092902,Arinex Techs and Equip - 23.10-26.10.25 [PRD],Chargeable,Project,Production,2025-10-23,2025-10-26,41.5,,
25092903,Downer AGM 11.11.2025 [PRD],Chargeable,Project,Production,2025-11-07,2025-11-11,47.25,,
25101301,PWC IT Support – Melbourne [ONS],Chargeable,Project,Support,2025-10-27,2026-05-15,660.5,,
25101401,MUFG Endeavour EDV AGM 17.11.25 [PRD],Chargeable,Project,Production,2025-11-01,2025-11-18,66.0,,
25101701,Ventia Withcott QldTown Hall 23.10.25 [PRD],Chargeable,Project,Production,2025-10-22,2025-10-23,16.0,,
25101703,Dimensional Audio Op - 30 10 25 [PRD],Chargeable,Project,Production,2025-10-30,2025-10-30,3.5,,
25101704,MUFG Aust Wool Limited AGM 14.11.25 [PRD],Chargeable,Project,Production,2025-11-03,2025-11-14,35.5,,
25102001,Garvan Morning Tea - 7.11.2025 [PRD],Chargeable,Project,Production,2025-11-06,2025-11-07,20.0,,
25102701,"DEWR - Studio Upgrade - Consulting, Design [CONS]",Chargeable,Project,Consulting,2026-01-14,2026-07-13,397.83,,
25102802,Novigi Meeting Space Inspection [CONS],Chargeable,Project,Consulting,2025-11-24,2026-05-06,8.25,,
25102803,Dimensional Audio Op - 12.11.25 [PRD],Chargeable,Project,Production,2025-11-12,2025-11-12,4.25,,
25103103,CBA Live Event Support - Nov 2025 [PRD],Chargeable,Project,Production,2025-11-18,2025-11-28,64.0,,
25111102,PwC Firmwide Webcast 19.11.25 [PRD],Chargeable,Project,Production,2025-11-19,2025-11-19,12.0,,
25111103,Ventia Perth Town Hall 21.11.25 [PRD],Chargeable,Project,Production,2025-11-19,2025-11-21,21.0,,
25111104,MUFG Dairy Australia AGM - 27.11.25 [PRD],Chargeable,Project,Production,2025-11-03,2025-11-28,50.5,,
25111105,MUFG HUB Investor Day 27.11.25 [PRD],Chargeable,Project,Production,2025-11-27,2025-11-28,31.0,,
25111202,PwC Studio Event 11.12.25 [PRD],Chargeable,Project,Production,2025-12-11,2025-12-11,16.25,,
25111203,CoS | Barco E3 Sale [INT],Chargeable,Project,Integration,2026-07-01,2026-08-19,1.67,,
25111301,Ventia XELT Session Nth Syd 26.11.2025 [PRD],Chargeable,Project,Production,2025-11-21,2025-11-26,28.25,,
25111401,Fredon AV Event 20.11.25 [PRD],Chargeable,Project,Production,2025-11-20,2025-11-21,16.75,,
25111402,CBA Live Event Support - Dec 2025 [PRD],Chargeable,Project,Production,2025-12-02,2025-12-16,139.25,,
25111702,Bankwest - SLG Forum - 08.12.2025 [VID],Chargeable,Project,Video,2025-12-08,2025-12-08,8.0,,
25112001,Elkiem Dedicated Technician - 24.11.25 [PRD],Chargeable,Project,Production,2025-11-24,2025-11-24,4.0,,
25112002,Optiver Town Hall 11.12.25 [PRD],Chargeable,Project,Production,2025-12-11,2025-12-11,8.75,,
25112601,CBA LES Uplight Dry Hire - 11.12.2025 [PRD],Chargeable,Project,Production,2025-12-11,2025-12-12,10.5,,
25121001,HP Poly Mic System Sale and Install at Mission Australia [INT],Chargeable,Project,Integration,2026-01-30,2026-08-03,53.25,,
25121002,Virgin HYR25 and Sell-side Analyst Call 27.02.2026 [PRD],Chargeable,Project,Production,2026-02-26,2026-02-27,16.0,,
25121003,RSNSW Ord Gen Meetng 3.12.25 [PRD],Chargeable,Project,Production,2025-12-03,2025-12-04,18.0,,
25121005,PwC Vision Dry Hire 3.12.25 [PRD],Chargeable,Project,Production,2025-12-01,2025-12-03,2.5,,
25121006,VEGA JPM Audio Technician 4.12.25 [PRD],Chargeable,Project,Production,2025-12-04,2025-12-04,4.0,,
25121007,Novigi SYD/MEL boardroom Mic upgrade + Cable Tidy [INT],Chargeable,Project,Integration,2026-01-20,2026-08-03,33.42,,
25121201,ASX HY26 Results 12.02.2026 [PRD],Chargeable,Project,Production,2026-02-04,2026-02-12,62.75,,
25121202,Aristocrat Annual AGM 19.2.2026 [PRD],Chargeable,Project,Production,2026-02-03,2026-02-19,28.75,,
25121203,CEO Summit Leadership PGM 29.01.2026 [PRD],Chargeable,Project,Production,2026-01-28,2026-02-03,71.25,,
25121204,MUFG (OC) Suncorp HYR 18.02.2026 [PRD],Chargeable,Project,Production,2026-02-04,2026-02-18,80.75,,
25121205,CBA Half Year Results 11.02.2026 [PRD],Chargeable,Project,Production,2026-01-15,2026-02-11,15.5,,
25121206,Cochlear HY26 Results 13.02.2026 [PRD],Chargeable,Project,Production,2026-02-12,2026-02-13,17.5,,
25121207,Downer HY Results 19.02.2026 [PRD],Chargeable,Project,Production,2026-02-16,2026-02-19,21.75,,
